osm_id,name,advertising,lat,lon,geom_source
12188365389,(ohne Name),billboard,49.4122613,11.0337924,point
12196326685,(ohne Name),column,49.4003679,11.0367697,point
12196328694,(ohne Name),billboard,49.4229528,11.0188635,point
12196374862,(ohne Name),billboard,49.3938317,11.0374421,point
12196375447,(ohne Name),billboard,49.4247503,11.0099439,point
12196378651,(ohne Name),billboard,49.3883517,11.0326823,point
12196391899,(ohne Name),billboard,49.410366,11.0345787,point
12196817933,(ohne Name),totem,49.3640694,11.2071365,point
12197235278,(ohne Name),board,49.405249,11.0349153,point
12197246250,(ohne Name),board,49.4052738,11.0349189,point
12197292370,(ohne Name),board,49.4052325,11.0349119,point
12198866959,(ohne Name),billboard,49.3538903,11.0547038,point
12203507565,(ohne Name),column,49.4205103,11.0188442,point
12206558099,(ohne Name),board,49.3502716,11.0627108,point
12211884792,(ohne Name),billboard,49.4206619,11.0333663,point
12238716822,(ohne Name),column,49.4020978,11.0359414,point
12238717484,(ohne Name),column,49.3556811,11.0530442,point
12426273948,(ohne Name),billboard,49.4481927,10.9900237,point
12426273949,(ohne Name),billboard,49.448115,10.9900323,point
12509924930,(ohne Name),NA,49.5186472,11.0023096,point
12509924940,(ohne Name),NA,49.5181078,11.0024089,point
12520561159,(ohne Name),NA,49.5175758,11.0024608,point
12521068570,(ohne Name),NA,49.5175756,11.0024579,point
12521068573,(ohne Name),NA,49.5175753,11.0024514,point
12522771168,(ohne Name),column,49.4774376,11.1064937,point
12522771171,(ohne Name),column,49.482147,11.1226849,point
12534222657,(ohne Name),totem,49.5181072,11.0023977,point
12577047096,(ohne Name),column,49.4437134,11.0539982,point
12577047097,(ohne Name),column,49.4437822,11.0542009,point
12593670150,(ohne Name),billboard,49.4052397,11.1117402,point
12613202560,(ohne Name),sign,49.4804902,11.0609655,point
12613210571,(ohne Name),sign,49.4804918,11.0614289,point
12616477280,(ohne Name),column,49.4389707,11.0356643,point
12619353101,(ohne Name),column,49.4314875,11.0999474,point
12619401582,(ohne Name),column,49.4162359,11.1212786,point
12641224031,(ohne Name),column,49.3989861,11.175946,point
12641302713,(ohne Name),column,49.393531,11.1352018,point
12688434532,(ohne Name),column,49.4351312,11.0239785,point
12737089414,(ohne Name),column,49.4571883,11.0365894,point
12766372094,(ohne Name),column,49.4521905,11.0861145,point
12766374606,(ohne Name),column,49.45151,11.0955585,point
